Age,Fare,Pclass,Sex,Embarked,Survived
68,151.98,3,female,C,0
34,102.45,1,male,S,0
25,280.44,3,female,C,0
52,7.22,3,male,C,0
52,71.47,3,female,Q,0
50,112.78,2,female,Q,1
76,148.9,3,male,C,0
22,255.99,2,female,S,0
59,30.93,3,male,C,1
56,242.73,3,male,C,1
75,21.42,3,male,S,0
58,253.48,3,female,S,0
45,20.23,3,female,S,0
24,10.38,1,female,S,1
26,210.6,2,male,C,0
25,299.19,3,male,C,1
29,269.5,2,female,Q,1
51,174.92,1,female,C,0
50,275.63,1,female,S,0
65,6.56,2,female,Q,0
72,292.64,3,female,S,0
40,149.77,3,male,C,0
79,218.25,3,male,Q,1
41,247.15,3,male,S,1
54,216.94,2,female,Q,0
52,162.84,2,male,Q,1
61,145.6,3,male,C,0
57,252.38,1,male,S,0
39,65.5,3,male,Q,0
44,290.56,3,male,Q,1
52,214.73,2,female,S,1
18,63.85,3,male,Q,1
52,222.19,3,female,Q,0
54,161.3,3,female,Q,0
64,213.63,1,female,S,0
31,231.49,2,female,S,0
20,30.75,3,female,S,1
18,154.3,2,male,S,1
22,279.94,1,male,C,1
43,99.59,3,female,Q,0
72,180.2,1,female,S,0
31,113.92,3,female,Q,0
56,139.01,3,male,Q,0
44,166.84,3,female,C,0
26,166.93,2,male,S,1
32,64.51,3,female,S,1
32,206.95,1,male,Q,0
43,30.92,1,female,S,0
59,45.95,3,male,Q,0
77,5.8,2,female,Q,0
30,39.43,2,male,C,1
68,144.58,3,male,C,0
49,183.8,1,male,C,0
56,239.32,2,male,Q,0
66,36.48,2,male,S,1
69,255.96,3,male,C,0
78,225.06,3,male,S,0
49,125.51,2,female,C,0
21,280.22,2,female,C,1
47,297.32,1,female,Q,1
54,65.48,1,female,C,0
40,116.87,3,female,C,1
56,278.3,2,male,Q,1
62,217.87,1,male,S,1
32,19.19,3,male,C,1
60,235.55,3,male,Q,1
46,249.24,3,male,C,0
53,226.4,2,female,Q,1
30,240.86,2,female,S,0
49,248.41,2,female,S,1
24,59.99,1,female,Q,0
76,74.53,3,male,Q,1
68,191.96,3,male,Q,1
39,272.82,3,male,S,0
45,98.28,3,female,C,1
19,178.55,2,male,S,0
59,206.48,3,female,Q,1
62,138.32,2,male,Q,0
79,215.57,3,male,S,0
74,270.4,2,female,Q,1
70,189.11,1,male,S,0
23,164.24,2,male,Q,1
45,134.43,3,female,C,0
45,175.36,2,male,C,0
61,109.83,1,female,Q,0
61,120.49,2,male,S,0
37,161.9,3,male,C,0
47,24.65,3,male,S,0
79,72.56,3,male,Q,0
28,165.14,1,male,S,0
75,132.3,3,male,C,1
72,103.18,2,male,S,1
45,220.51,3,male,S,0
42,209.65,3,female,Q,1
56,54.19,1,female,Q,0
79,264.2,1,male,Q,1
50,151.15,1,male,C,1
18,223.73,2,female,C,1
74,174.08,2,male,Q,0
44,299.32,3,male,Q,1
79,226.96,2,female,C,0
74,213.56,2,male,C,1
69,234.68,1,male,C,0
30,47.22,1,female,C,1
58,65.34,3,male,Q,1
20,215.65,2,male,C,1
56,150.72,3,female,Q,0
23,227.62,3,male,S,1
25,35.36,3,female,S,0
44,163.26,3,male,C,1
26,116.75,2,male,S,0
79,139.82,3,female,S,0
54,183.17,1,female,S,0
50,153.18,1,male,C,0
68,164.26,3,female,C,0
59,148.48,3,female,S,0
61,125.64,3,male,Q,0
41,232.71,1,male,S,1
32,8.6,2,male,C,1
76,181.54,3,female,C,0
71,171.82,2,female,C,0
49,216.27,3,female,S,0
49,181.71,3,female,Q,0
41,248.91,2,male,C,1
58,287.93,2,female,C,1
69,106.04,2,male,S,0
66,72.07,2,female,Q,0
79,129.96,3,male,S,0
66,89.94,2,male,C,1
75,186.41,3,male,Q,1
69,274.0,1,female,Q,0
29,46.04,3,male,C,0
79,34.73,2,male,Q,1
56,80.52,1,female,Q,1
19,219.2,1,male,S,0
20,179.92,3,female,C,0
66,35.15,3,female,C,0
54,276.03,3,male,C,0
66,238.07,1,male,C,0
73,11.79,1,female,C,0
34,197.15,3,male,Q,0
76,232.52,2,female,S,0
66,115.46,2,female,C,1
19,25.33,3,female,S,0
19,27.81,3,male,S,0
45,35.75,3,female,Q,0
71,252.93,3,male,C,0
40,273.65,2,male,Q,1
54,41.23,2,male,C,0
49,74.59,3,male,Q,0
50,53.83,3,female,S,1
18,59.96,1,male,C,0
36,252.06,2,female,S,1
79,102.98,1,female,S,0
19,96.88,3,male,Q,0
70,72.08,3,female,C,0
61,184.33,3,female,S,0
43,116.9,2,male,Q,1
49,224.55,3,female,C,1
23,65.65,3,female,C,0
49,237.4,1,female,S,0
72,183.1,2,female,C,1
21,38.71,2,male,S,1
72,127.28,1,female,C,0
28,259.74,3,female,Q,0
73,277.27,2,female,S,0
76,142.38,3,female,S,1
34,146.85,2,male,C,0
55,275.94,1,female,C,0
41,178.19,2,male,S,1
22,14.69,1,female,C,0
69,274.26,2,male,Q,0
51,78.23,3,male,C,0
23,175.4,3,male,Q,0
39,53.83,3,male,Q,0
28,14.99,1,male,Q,0
65,96.88,1,female,Q,0
33,235.25,1,female,Q,0
50,86.89,3,female,C,1
26,69.93,1,male,Q,1
77,67.74,2,female,C,0
76,156.98,3,male,Q,0
23,292.78,2,male,S,0
33,140.4,1,female,Q,0
46,169.41,2,female,S,0
20,258.89,3,male,Q,1
37,162.85,3,male,Q,0
77,59.42,2,female,Q,0
76,93.38,1,female,S,0
53,96.43,3,female,S,1
36,122.21,3,female,Q,0
43,130.9,2,male,C,1
20,240.94,3,female,Q,0
36,108.07,2,female,S,1
37,143.13,3,female,Q,1
49,189.37,3,male,S,0
24,116.43,2,male,S,0
69,251.79,3,male,S,0
58,178.3,3,male,Q,0
50,91.74,3,female,S,1
57,215.65,1,male,S,1
56,160.66,1,female,Q,1
35,162.66,2,female,S,1
57,146.92,3,female,Q,0
18,151.62,2,female,S,0
28,230.78,3,male,C,1
45,35.38,3,male,C,0
74,103.64,1,male,S,1
42,27.27,3,female,C,0
67,227.21,1,female,Q,0
40,85.33,3,female,C,1
48,269.74,2,female,S,0
47,160.34,1,female,S,1
59,241.22,2,male,Q,1
52,293.78,2,female,S,1
24,252.74,3,male,Q,1
77,260.76,3,female,C,0
33,125.36,3,female,C,1
43,167.76,1,male,Q,0
65,79.9,1,male,Q,0
74,62.85,1,female,S,1
69,154.12,3,female,C,0
77,180.54,3,female,Q,0
66,105.09,2,female,C,0
19,172.99,1,male,Q,0
18,266.8,3,female,C,1
65,169.23,3,male,S,0
79,217.64,3,female,C,1
29,242.57,3,male,C,1
22,296.67,2,male,C,1
54,182.94,1,female,C,0
49,243.02,3,male,C,1
76,288.98,3,female,S,0
72,283.6,2,male,Q,1
26,46.62,3,female,C,0
58,124.89,3,male,S,1
52,100.58,3,female,C,1
36,30.64,3,female,C,0
65,191.81,2,male,Q,0
33,222.09,3,male,C,1
20,255.2,3,male,S,0
37,41.22,3,male,S,1
41,263.55,3,female,Q,0
71,194.66,3,male,C,0
73,212.66,1,female,S,1
50,273.63,3,male,C,1
41,189.3,3,female,C,1
69,104.08,3,female,C,0
28,248.41,3,female,Q,1
66,112.1,3,female,C,0
25,15.1,2,male,S,1
53,250.04,3,male,C,1
55,106.83,1,female,S,0
57,233.28,2,male,C,0
37,112.01,3,male,S,0
79,259.02,3,female,S,1
52,69.76,2,male,C,0
65,292.49,1,male,C,1
79,235.03,3,male,S,0
42,38.7,1,female,Q,1
52,171.9,1,male,C,1
42,295.68,1,female,Q,0
46,143.96,1,male,C,0
35,58.72,1,male,C,0
63,148.01,2,male,C,1
35,156.18,2,female,C,1
19,223.8,3,female,Q,0
71,211.16,3,male,C,1
52,123.75,3,female,S,0
33,69.32,1,male,S,0
78,195.29,2,female,Q,1
58,129.4,3,female,C,0
53,44.02,1,male,S,0
50,270.67,2,male,Q,0
21,208.91,3,male,C,0
50,206.54,3,male,S,0
31,247.66,1,female,S,0
38,161.25,2,female,Q,1
65,245.44,3,female,C,0
37,151.94,1,male,C,0
73,24.82,3,male,S,0
25,124.55,3,female,S,0
24,151.75,3,male,S,1
20,217.46,2,female,C,1
34,36.44,3,female,Q,0
50,46.31,3,female,Q,1
65,82.79,2,female,C,0
29,83.62,1,female,Q,0
76,220.99,3,male,S,0
68,78.97,2,male,Q,0
39,191.76,2,male,Q,0
72,150.81,1,female,Q,1
39,174.12,3,female,S,0
63,252.24,3,female,C,1
47,124.29,3,female,S,0
55,232.42,2,male,C,0
55,129.5,1,male,C,1
62,109.39,3,female,C,0
68,287.8,2,female,Q,0
71,59.39,1,female,Q,1
25,31.65,3,male,C,1
44,232.44,3,male,C,1
44,25.13,3,male,Q,1
51,251.94,3,female,S,1
38,133.97,3,female,C,1
47,275.08,2,male,S,0
50,217.85,3,female,Q,0
45,185.07,3,male,C,0
64,285.05,1,female,S,0
50,122.01,3,male,S,1
22,286.46,3,female,S,1
77,44.83,3,male,Q,0
78,147.71,3,male,Q,0
65,84.62,3,male,S,1
36,164.25,3,male,S,0
21,52.79,1,male,Q,1
52,253.25,3,male,S,0
66,254.69,2,female,S,0
34,286.79,2,female,Q,0
61,50.63,2,female,S,0
45,188.88,2,male,S,1
47,144.9,2,male,S,1
46,106.59,3,female,Q,1
63,108.7,3,male,S,0
70,126.77,3,male,Q,0
23,212.95,1,male,Q,1
52,181.49,3,male,C,1
77,140.61,3,male,C,0
58,27.4,3,female,S,0
54,27.94,1,female,Q,1
41,5.69,1,female,C,0
46,290.47,2,female,S,0
66,6.55,1,female,C,0
63,35.41,2,male,C,0
70,97.81,3,male,Q,1
48,243.19,2,male,Q,1
52,288.82,1,male,C,0
77,238.05,2,female,C,0
50,208.72,1,female,Q,0
69,158.78,1,female,S,0
78,30.58,2,male,Q,0
38,287.66,2,female,C,1
49,228.73,3,male,S,0
40,193.49,3,female,C,0
50,228.92,2,female,S,0
20,218.61,2,male,C,0
35,192.98,3,male,S,0
42,294.27,2,female,S,0
59,271.49,1,female,C,1
48,195.77,3,male,S,0
71,209.49,1,female,Q,0
75,20.22,3,female,C,1
20,202.63,3,male,Q,1
57,18.03,2,female,C,0
63,178.54,2,male,S,1
41,299.81,3,female,S,0
67,168.96,1,male,S,0
49,144.6,2,female,C,0
64,97.29,3,male,Q,1
39,40.55,3,female,Q,1
40,220.65,1,male,C,0
19,61.82,3,female,C,0
44,39.01,2,female,Q,1
59,129.42,3,female,Q,0
19,239.63,3,female,Q,0
43,224.79,3,female,Q,1
34,21.19,2,female,C,1
57,139.27,3,female,C,1
50,159.12,1,female,S,1
26,195.14,3,female,Q,0
60,196.8,1,male,S,1
71,112.59,2,male,C,1
65,170.4,2,female,C,0
56,146.91,3,male,S,0
46,266.07,3,female,Q,0
59,161.43,1,female,Q,0
72,135.1,1,male,Q,1
43,124.32,3,female,Q,1
52,173.87,2,female,S,0
67,242.17,1,male,S,0
42,163.83,3,male,C,1
41,200.19,3,female,Q,0
30,222.67,3,male,Q,0
77,158.45,2,male,Q,0
75,130.91,2,female,S,0
24,263.62,3,male,Q,0
74,128.16,3,male,S,0
53,141.27,3,female,Q,0
62,297.15,3,male,Q,0
37,5.07,2,male,C,0
18,59.71,3,female,Q,0
25,118.27,2,female,Q,1
63,280.11,1,female,C,1
33,25.66,3,male,S,0
31,7.8,2,female,S,0
29,20.54,1,female,Q,1
68,31.12,3,male,S,0
40,16.09,2,female,Q,0
32,146.54,3,female,C,1
45,176.32,2,female,C,1
51,85.15,3,female,Q,1
19,122.49,1,male,C,0
49,32.05,2,female,C,1
40,104.23,3,female,Q,0
39,159.14,3,male,Q,1
68,221.02,2,female,C,0
42,5.99,2,male,S,0
75,142.86,3,male,S,1
79,92.62,3,male,Q,0
78,256.58,3,female,Q,0
39,216.09,3,male,S,1
75,178.79,1,male,C,0
75,86.79,1,male,S,0
39,273.55,3,female,S,0
66,18.3,1,female,S,1
69,37.29,2,female,S,1
59,120.53,3,female,Q,0
23,41.71,3,female,Q,1
32,287.14,3,female,C,0
71,240.41,3,female,C,1
60,81.4,3,male,C,0
77,178.62,1,male,C,0
54,294.79,2,male,S,1
50,265.84,2,male,Q,0
25,182.24,2,female,Q,0
70,271.6,3,male,C,0
77,296.81,2,male,C,1
61,224.29,2,male,S,0
61,24.17,2,male,S,0
22,123.47,1,female,C,0
56,252.16,2,female,Q,0
21,73.02,1,female,Q,0
23,250.04,1,male,Q,1
62,40.5,1,female,C,1
49,18.85,2,male,Q,0
69,118.31,3,female,S,0
47,15.84,2,female,S,0
64,287.39,2,female,C,0
52,248.73,3,female,S,1
72,241.23,1,female,C,0
57,190.78,3,male,Q,0
69,68.82,3,female,Q,1
33,157.89,2,male,Q,0
30,181.2,3,male,S,1
67,159.88,1,male,C,0
77,81.77,3,male,Q,1
59,157.0,2,male,C,1
47,149.9,3,female,Q,1
36,298.92,1,female,S,1
34,269.74,3,female,S,0
73,141.7,3,female,C,0
36,188.77,1,male,S,1
45,225.62,2,female,S,0
75,15.29,3,female,C,0
72,269.0,3,male,Q,0
43,258.74,2,male,S,0
54,139.94,3,female,C,0
43,120.4,3,female,S,0
70,85.52,3,male,S,1
79,145.62,1,female,S,0
40,18.09,3,female,S,0
26,256.4,2,female,C,0
29,15.45,3,female,C,0
70,102.07,2,male,C,1
18,279.82,1,male,S,0
75,221.89,3,male,S,0
75,88.01,2,female,S,1
18,79.53,3,female,C,0
64,6.5,3,female,S,0
51,210.24,3,female,Q,0
49,19.39,1,female,S,1
79,162.12,3,male,Q,0
71,288.83,1,female,S,0
65,37.29,1,female,C,0
42,268.87,3,male,S,0
57,297.49,2,female,Q,0
62,23.15,2,male,Q,0
70,265.46,3,male,S,0
18,157.24,2,male,Q,1
33,272.42,2,male,Q,1
78,173.54,3,male,C,0
56,200.32,1,female,S,1
22,165.41,3,male,S,0
39,260.03,3,male,S,0
46,221.5,3,female,Q,1
72,158.77,3,female,S,1
20,261.11,2,male,S,1
29,77.36,2,female,C,0
43,51.42,3,female,C,1
33,52.32,3,male,C,0
68,103.53,3,male,Q,1
54,75.41,2,female,S,1
39,279.38,1,male,C,0
74,36.22,1,male,C,1
46,211.2,3,female,C,0
31,60.82,2,male,S,0
45,265.08,3,male,S,0
22,288.59,3,male,S,0
64,142.31,1,male,Q,1
66,264.33,3,male,Q,1
47,6.52,2,female,C,0
63,246.88,3,female,S,1
79,72.44,3,male,C,1
69,273.07,3,female,S,0
22,5.33,3,male,S,1
29,169.07,2,male,S,0
33,228.21,1,male,Q,1
43,81.31,3,male,Q,0
43,61.97,1,male,S,0
65,29.81,2,female,C,0
38,101.3,1,female,S,1
56,170.15,3,male,S,0
53,39.17,1,female,C,0
50,116.13,3,male,S,0
79,7.68,3,female,C,1
47,246.51,1,male,Q,0
54,42.89,1,female,Q,0
40,88.59,2,male,C,0
75,10.44,3,male,Q,0
27,132.51,2,female,Q,1
71,252.84,2,female,C,1
22,120.68,1,male,Q,0
53,57.95,3,female,S,0
51,227.34,2,male,S,1
69,237.7,3,female,C,0
48,56.26,3,female,Q,1
27,232.4,2,male,S,1
75,284.45,3,female,S,1
36,54.08,1,female,Q,0
75,232.44,3,male,Q,0
49,214.03,3,female,S,1
18,144.7,3,male,S,0
73,22.09,1,male,C,1
22,27.03,1,male,C,0
62,256.46,2,male,S,1
21,297.09,2,male,C,0
33,204.44,2,female,S,0
41,136.56,2,male,S,0
33,196.03,1,male,C,1
72,180.35,2,female,C,1
19,118.17,3,female,Q,0
66,24.36,2,female,Q,0
45,247.35,1,male,Q,1
49,114.69,2,male,S,0
44,246.54,1,male,C,0
37,79.49,3,female,S,0
41,5.3,1,male,C,0
29,51.89,3,female,S,0
67,143.22,3,male,Q,0
52,283.57,3,female,Q,0
77,35.15,3,male,Q,0
50,256.99,3,male,S,0
50,160.47,3,male,C,0
78,248.65,3,female,C,0
68,93.02,3,female,Q,1
60,252.78,3,male,Q,0
54,232.98,3,male,Q,0
29,72.87,3,male,Q,0
20,43.74,2,female,C,0
18,261.08,2,male,S,0
50,289.15,1,male,S,0
57,14.23,1,male,S,1
27,220.72,2,male,S,0
60,273.31,1,female,Q,1
61,257.92,3,female,Q,0
46,289.53,2,male,Q,0
30,229.23,3,male,S,0
29,135.48,1,female,Q,0
48,97.03,2,female,Q,0
63,99.62,3,male,C,1
19,218.7,3,female,C,0
78,225.02,1,female,Q,1
68,64.11,3,male,C,1
67,261.1,3,female,C,0
52,215.9,2,female,Q,0
40,171.01,2,male,Q,0
34,144.1,3,male,Q,0
43,165.25,3,female,Q,0
25,51.98,3,male,S,0
46,65.09,3,female,S,0
43,31.89,2,male,Q,0
27,50.33,2,female,C,1
43,138.84,2,male,Q,1
79,161.45,3,female,Q,1
51,10.27,3,female,C,0
68,240.06,3,female,S,0
58,91.78,2,male,Q,0
24,273.99,2,male,Q,0
21,290.42,2,female,S,0
75,59.71,3,female,S,1
70,141.32,3,male,C,1
67,5.36,1,male,S,0
62,181.51,3,male,S,0
28,184.16,1,male,S,0
46,78.02,3,male,C,0
73,169.73,1,male,S,0
53,71.53,3,female,S,0
42,52.44,1,male,C,0
38,197.2,3,female,S,1
78,101.15,2,male,S,0
74,179.13,1,male,C,1
53,132.81,2,female,Q,0
27,295.38,1,female,C,0
54,49.13,1,male,S,0
26,142.06,3,female,S,0
41,205.73,2,female,S,0
52,121.69,3,female,C,1
66,292.54,3,female,S,1
52,217.96,3,male,S,0
65,198.81,1,female,C,0
53,228.33,2,male,Q,1
35,286.03,3,male,Q,0
66,272.81,3,male,S,0
56,218.66,2,male,C,0
49,226.0,2,female,S,1
41,48.05,2,female,C,1
40,35.32,3,male,C,0
79,173.42,2,male,Q,1
49,10.42,2,male,Q,1
54,147.3,3,male,C,0
29,67.05,1,female,S,0
66,107.07,1,male,Q,0
72,233.86,3,female,S,1
30,282.67,3,male,Q,0
40,26.36,2,male,Q,1
42,162.6,2,male,S,0
52,265.35,2,male,Q,1
58,29.34,2,female,Q,0
47,248.23,3,female,S,0
34,110.55,2,female,Q,1
66,100.02,2,male,Q,1
79,293.35,2,male,Q,1
37,64.25,3,female,S,0
65,209.49,3,female,C,1
42,247.33,3,male,S,0
39,17.15,1,male,C,0
30,202.76,3,female,Q,0
76,285.71,3,male,C,0
36,41.64,2,male,S,0
66,269.39,2,female,S,1
53,180.46,2,male,Q,0
29,186.9,2,female,C,1
78,185.82,2,male,Q,0
58,93.16,1,female,Q,0
36,280.88,2,male,S,0
29,284.47,3,female,C,1
26,189.46,2,female,C,1
24,236.11,3,female,C,1
45,185.62,3,female,C,1
31,147.9,3,male,Q,0
48,199.94,3,male,Q,0
69,168.14,1,female,S,1
36,181.26,3,male,Q,0
75,236.23,1,male,Q,0
64,146.87,2,male,S,0
33,17.02,3,male,S,0
70,53.38,1,male,S,0
22,134.39,2,female,Q,0
52,218.82,3,female,Q,0
29,180.02,3,female,S,0
42,196.84,3,female,S,0
69,146.39,2,male,S,0
76,186.64,3,male,Q,1
38,102.06,2,female,Q,0
53,143.7,3,male,C,0
70,224.56,3,male,Q,1
40,262.19,3,female,Q,0
33,132.93,3,male,Q,0
74,17.88,1,female,S,1
56,52.69,3,female,Q,0
62,11.15,3,male,S,1
70,197.71,1,male,C,1
59,103.03,3,female,C,1
75,165.03,2,female,S,0
56,150.52,3,male,S,0
31,29.05,3,female,S,0
48,123.96,3,female,Q,0
75,70.07,1,female,C,0
22,128.43,3,male,S,0
52,65.06,3,female,Q,0
40,252.93,3,male,C,0
46,56.39,2,female,Q,0
60,288.43,2,male,C,0
28,127.69,3,female,Q,1
35,254.64,2,male,C,0
64,190.49,3,male,C,0
29,221.93,3,male,Q,1
26,231.48,3,female,S,0
27,153.93,3,female,C,0
75,165.27,3,female,S,0
61,156.63,1,male,Q,1
34,178.48,1,female,S,0
78,13.67,1,male,S,0
55,121.68,1,female,S,0
24,183.83,3,male,S,1
63,181.33,3,male,S,0
30,238.92,3,male,C,0
57,198.23,3,female,C,1
59,297.68,3,female,C,0
26,88.74,3,female,Q,1
67,110.95,3,male,S,0
44,118.23,3,male,C,1
75,142.41,2,female,Q,0
19,251.62,1,female,C,1
22,74.56,2,female,C,1
46,233.92,3,male,S,0
54,124.57,3,male,Q,0
55,182.55,2,male,S,0
36,191.6,2,male,S,0
25,114.99,3,male,C,0
65,156.22,1,female,S,0
62,126.84,2,male,Q,0
18,25.39,3,male,S,0
39,133.96,2,male,S,0
69,33.73,1,male,S,1
34,124.48,3,male,C,0
24,179.91,3,female,Q,0
42,175.93,3,male,C,0
62,200.47,2,male,C,0
21,33.1,2,male,C,0
53,197.38,2,female,C,0
23,97.08,3,female,C,0
77,122.72,3,female,Q,1
48,258.11,1,male,S,0
36,7.66,3,female,C,1
78,178.58,1,male,C,1
61,181.62,2,male,Q,1
71,122.01,1,female,Q,1
56,74.92,2,male,S,0
44,74.23,3,male,Q,0
27,265.69,3,male,S,1
43,135.4,1,female,C,0
36,102.61,3,male,C,0
56,137.39,1,male,S,1
79,202.47,3,female,Q,1
20,48.0,3,male,S,1
62,137.58,2,male,Q,1
30,178.43,3,female,C,1
67,284.83,2,male,Q,0
45,79.5,1,male,S,1
79,110.98,2,male,S,0
75,116.91,3,male,C,0
37,183.63,3,male,Q,1
45,110.24,1,female,Q,0
25,162.39,3,female,Q,0
78,235.63,3,female,C,0
58,213.09,3,female,Q,1
56,136.68,3,male,S,0
18,259.94,3,male,Q,1
20,169.65,1,male,C,0
30,164.27,1,male,Q,1
45,15.09,3,male,Q,1
79,296.07,2,female,S,0
74,41.28,3,female,Q,0
77,73.18,3,male,S,0
66,20.25,1,male,S,1
42,193.8,1,male,C,1
73,71.29,2,female,S,1
50,58.1,3,male,S,0
55,31.12,2,male,C,1
70,35.48,2,male,S,1
23,177.48,2,female,C,1
75,208.02,1,male,Q,1
61,122.23,2,female,C,0
62,146.57,1,female,S,0
49,207.36,3,female,C,1
62,10.13,2,female,S,1
78,100.32,2,female,Q,0
64,292.06,2,female,C,0
38,176.13,2,male,Q,0
33,80.0,3,male,S,0
71,158.91,3,male,S,0
38,106.08,1,female,Q,1
28,162.01,3,male,C,1
77,42.09,1,female,C,0
54,44.15,1,female,S,0
53,47.34,3,female,Q,0
52,282.25,3,male,Q,0
36,221.21,3,female,C,1
37,52.9,2,female,C,1
74,60.56,3,male,C,0
35,220.59,1,male,Q,1
64,51.07,2,female,C,1
58,74.2,3,female,C,1
66,289.19,2,male,S,0
31,80.32,3,male,C,1
32,200.18,3,male,C,0
48,293.7,1,female,Q,0
18,115.42,3,male,Q,0
70,10.17,3,male,S,0
71,77.02,2,male,C,0
71,250.11,3,female,S,0
20,260.06,3,male,Q,0
33,231.71,1,male,S,1
40,38.37,3,male,Q,1
74,239.68,3,male,S,0
28,276.01,1,male,S,1
29,182.18,3,female,C,1
27,282.56,2,female,S,1
49,248.92,3,female,C,0
33,201.76,3,male,C,1
25,175.27,2,female,C,1
55,107.83,2,female,C,1
29,51.99,3,female,S,0
41,183.46,2,male,Q,0
45,98.84,3,male,Q,1
70,260.6,1,female,Q,0
25,298.03,3,female,S,0
75,226.97,3,male,C,0
45,31.69,3,male,Q,1
53,90.16,1,female,S,1
43,37.19,3,male,C,0
25,196.9,3,female,Q,1
75,230.73,2,male,C,0
77,278.07,2,female,Q,1
67,134.26,1,female,Q,1
45,270.91,3,male,Q,1
45,263.98,3,female,C,1
54,98.57,1,female,S,0
58,261.33,3,female,C,1
53,115.82,2,male,Q,0
44,92.58,1,male,C,1
71,196.48,3,male,S,1
34,101.87,3,female,C,1
26,190.91,3,male,S,0
50,184.9,1,female,S,1
70,171.21,3,female,C,0
37,117.22,2,male,Q,0
30,166.81,2,male,S,1
45,180.96,2,female,C,0
65,165.98,3,female,S,1
46,136.1,3,male,Q,0
